Error;
0.05;0.00104413;
 0.1;0.000126546;
 0.15;7.13516e-05;
 0.2;3.12087e-05;
 0.25;2.82883e-05;
 0.3;2.69792e-05;
 0.35;1.54999e-05;
 0.4;6.60759e-06;
 0.45;2.75142e-06;
 0.5;3.60892e-06;
 0.55;1.4242e-05;
 0.6;9.19349e-05;
 0.65;5.89962e-06;
 0.7;3.26119e-05;
 0.75;8.40397e-05;
 0.8;7.03571e-05;
 0.85;0.000121754;
 0.9;8.57587e-05;
 0.95;0.0302984;
 1;0.000163444;
 1.05;0.000176116;
 1.1;0.000212104;
 1.15;0.000177541;
 1.2;0.000513946;
 
