Error;
0.05;0.000329292;
 0.1;0.000208485;
 0.15;0.000107239;
 0.2;5.33953e-05;
 0.25;3.50073e-05;
 0.3;2.30402e-05;
 0.35;4.43034e-06;
 0.4;8.09196e-06;
 0.45;2.59932e-05;
 0.5;2.48189e-06;
 0.55;1.16277e-05;
 0.6;0.000130667;
 0.65;1.16451e-05;
 0.7;0.00321317;
 0.75;0.000771174;
 0.8;0.000111982;
 0.85;0.000111314;
 0.9;3.55433e-05;
 0.95;9.61033e-05;
 1;0.00229698;
 1.05;0.000842708;
 1.1;0.000447018;
 1.15;0.0815089;
 1.2;0.000224366;
 
