Error;
5;0.133927
10;0.000459703
15;0.000193498
20;0.000918694
25;0.000135761
30;0.000124022
35;1.65E-05
40;5.05E-05
45;0.0576617
50;0.000609472
55;1.13E-05
60;9.95E-05
65;2.57E-06
70;2.39E-05
75;0.0227502
80;5.03E-06
85;2.98E-06
90;4.09E-06
95;5.54E-06
100;8.64E-06
 ;5.86E-06
;1.74E-06
;9.76E-07
;8.70E-07
;7.36E-07
;7.23E-07
;8.08E-07
;9.02E-07
