Error;
0.05;0.0012857;
 0.1;0.000165327;
 0.15;4.57944e-05;
 0.2;5.39537e-05;
 0.25;2.89987e-05;
 0.3;3.07243e-05;
 0.35;1.25877e-05;
 0.4;5.96013e-06;
 0.45;4.22365e-05;
 0.5;5.67459e-06;
 0.55;2.03696e-05;
 0.6;9.1052e-06;
 0.65;0.0054192;
 0.7;6.83473e-05;
 0.75;0.000111717;
 0.8;5.09151e-05;
 0.85;0.00013331;
 0.9;0.000562024;
 0.95;0.000704522;
 1;0.000230759;
 1.05;0.00286134;
 1.1;0.000212488;
 1.15;0.00248532;
 1.2;0.000493011;
 
