Error;
5;1.69383;
 10;0.000136727;
 15;8.30934e-05;
 20;5.54617e-05;
 25;0.000164486;
 30;0.000153149;
 35;0.00784531;
 40;7.21927e-06;
 45;1.00889e-05;
 50;6.72166e-05;
 55;4.33348e-06;
 60;3.38784e-05;
 65;2.79059e-05;
 70;6.03639e-05;
 75;9.81921e-07;
 80;4.08306e-06;
 85;2.63872e-06;
 90;1.10853e-05;
 95;0.00058239;
 100;1.3472e-06;
 150;1.85666e-06;
 200;7.40275e-07;
 250;8.75782e-07;
 300;7.70436e-07;
 350;1.73584e-06;
 400;7.52904e-07;
 450;7.50802e-07;
 500;1.02348e-06;
 
