Error;
0.05;7.20E-05
0.1;4.71E-05
0.15;6.17E-05
0.2;3.50E-05
0.25;3.30E-05
0.3;2.88E-05
0.35;2.20E-05
0.4;1.70E-05
0.45;1.43E-05
0.5;4.63E-06
0.55;8.27E-06
0.6;1.71E-05
0.65;6.53E-05
0.7;1.08E-06
0.75;2.31E-06
0.8;7.94E-05
0.85;7.27E-06
0.9;9.08E-07
0.95;9.51E-06
1;2.76E-06
 ;
