Error;
0.05;8.30554E-05
0.1;5.97E-05
0.15;4.28E-05
0.2;3.42E-05
0.25;2.47E-05
0.3;2.42718E-05
0.35;1.64E-05
0.4;1.82E-05
0.45;3.77E-05
0.5;9.19E-06
0.55;4.76E-06
0.6;8.75E-06
0.65;1.79835E-05
0.7;2.15938E-05
0.75;1.04E-05
0.8;0.000019023
0.85;1.03E-05
0.9;2.06E-06
0.95;2.66E-05
1;4.50E-06
 ;
