Error;
5;0.290167
10;0.000395949
15;0.000201592
20;0.000195426
25;6.19E-05
30;8.17E-05
35;0.000649318
40;4.52E-05
45;3.70E-05
50;3.38E-05
55;1.12E-05
60;8.59E-06
65;7.17E-06
70;6.69E-06
75;3.40E-06
80;1.67E-06
85;8.33E-07
90;1.65E-06
95;1.83E-06
100;3.84E-06
 ;2.86E-06
;1.40E-07
;9.26E-07
;8.40E-07
;7.74E-07
;6.53E-07
;7.91E-07
;1.02E-06
