Error;
0.05;0.00044082
0.1;0.000130159
0.15;6.76E-05
0.2;6.10E-05
0.25;3.69E-05
0.3;2.87E-05
0.35;6.78E-06
0.4;5.65E-06
0.45;2.15E-06
0.5;2.20E-06
0.55;2.64E-06
0.6;1.35E-06
0.65;9.86E-06
0.7;9.20E-05
0.75;8.96E-05
0.8;0.000117982
0.85;4.80E-05
0.9;0.000155604
0.95;0.00047017
1;0.000209872
1.05;0.000199586
1.1;0.000269522
1.15;0.00162252
1.2;0.000212793
 ;
