Error;
0.05;0.000356117;
 0.1;7.20876e-05;
 0.15;6.97171e-05;
 0.2;5.99574e-05;
 0.25;4.95212e-05;
 0.3;1.55573e-05;
 0.35;2.09164e-05;
 0.4;6.52739e-06;
 0.45;1.73268e-05;
 0.5;3.69158e-06;
 0.55;1.31209e-05;
 0.6;5.41056e-06;
 0.65;1.70981e-05;
 0.7;0.00401886;
 0.75;0.000314721;
 0.8;8.92171e-05;
 0.85;0.000151066;
 0.9;0.0234336;
 0.95;0.00025923;
 1;0.000182714;
 1.05;0.000940066;
 1.1;0.000653638;
 1.15;0.000256315;
 1.2;0.000221609;
 
