Error;
0.05;8.73E-05
0.1;4.13E-05
0.15;3.85E-05
0.2;2.92425E-05
0.25;2.34E-05
0.3;1.55E-05
0.35;1.39E-05
0.4;2.47E-05
0.45;1.02E-05
0.5;2.62E-06
0.55;1.17E-05
0.6;2.71E-06
0.65;2.45E-06
0.7;4.08E-06
0.75;1.18E-05
0.8;1.90E-06
0.85;4.30E-05
0.9;5.15E-06
0.95;6.19E-05
1;3.55E-06
 ;
