Error;
5;0.016524
10;0.00341179
15;0.000151034
20;0.000153616
25;5.23E-05
30;0.000185599
35;7.71E-05
40;1.86E-05
45;0.00115098
50;5.47E-05
55;9.03E-06
60;2.53E-05
65;5.72E-06
70;1.21E-05
75;1.85E-06
80;3.14E-05
85;1.15E-06
90;0.00374351
95;9.75E-07
100;3.15E-06
 ;1.76E-06
;7.41E-07
;8.66E-07
;7.63E-07
;7.36E-07
;7.53E-07
;7.51E-07
;1.02E-06
