Error;
0.05;0.000235918
0.1;0.000122048
0.15;9.00E-05
0.2;5.34E-05
0.25;4.70E-05
0.3;1.69E-05
0.35;1.92E-05
0.4;1.65E-05
0.45;2.70E-05
0.5;2.17E-05
0.55;1.06E-06
0.6;3.05E-06
0.65;1.27E-06
0.7;7.88E-05
0.75;8.30E-05
0.8;0.000575765
0.85;0.000274414
0.9;0.00011818
0.95;0.000120776
1;0.000179946
1.05;0.00074628
1.1;0.000263238
1.15;0.000204937
1.2;0.000230076
 ;
