Error;
0.05;6.35E-05
0.1;6.65E-05
0.15;4.62E-05
0.2;3.40E-05
0.25;1.60E-05
0.3;1.83E-05
0.35;1.37E-05
0.4;2.71E-05
0.45;2.85E-05
0.5;5.08E-06
0.55;1.75E-05
0.6;5.23E-06
0.65;1.12E-05
0.7;3.20E-05
0.75;4.29E-05
0.8;1.58E-05
0.85;6.26E-06
0.9;7.24E-06
0.95;1.65E-05
1;1.59E-05
 ;
