Error;
0.05;0.00103754
0.1;0.000128501
0.15;4.57E-05
0.2;3.95E-05
0.25;3.19E-05
0.3;1.75E-05
0.35;2.54E-05
0.4;1.98E-05
0.45;1.12E-05
0.5;9.53E-06
0.55;5.03E-06
0.6;2.71E-05
0.65;5.41E-05
0.7;0.000205966
0.75;0.000358555
0.8;0.000134435
0.85;7.51E-05
0.9;0.000146028
0.95;0.000492842
1;0.000865028
1.05;0.000361598
1.1;0.00279228
1.15;0.000237467
1.2;0.000166486
 ;
