Error;
0.05;0.000107712
0.1;0.000109289
0.15;7.26E-05
0.2;7.27E-05
0.25;4.53E-05
0.3;3.18E-05
0.35;1.67E-05
0.4;1.01E-05
0.45;5.68E-06
0.5;3.62E-06
0.55;8.58E-06
0.6;2.12E-06
0.65;1.27E-05
0.7;5.25E-05
0.75;4.51E-05
0.8;1.59E-05
0.85;4.92E-05
0.9;0.00017867
0.95;1.87E-05
1;1.02E-05
1.05;2.49E-05
1.1;0.000029467
1.15;2.73E-05
1.2;2.77E-05
 ;
