Error;
0.05;0.000112566
0.1;7.79E-05
0.15;8.18E-05
0.2;5.76E-05
0.25;4.65E-05
0.3;1.99E-05
0.35;2.41E-05
0.4;2.93E-05
0.45;1.97E-05
0.5;1.86E-05
0.55;1.18E-05
0.6;2.96E-05
0.65;1.23E-05
0.7;1.61E-05
0.75;1.13E-05
0.8;1.15E-05
0.85;6.14E-06
0.9;1.00E-05
0.95;1.34E-06
1;1.76E-05
