Error;
0.05;7.70E-05
0.1;5.15E-05
0.15;3.37E-05
0.2;5.81E-05
0.25;1.93E-05
0.3;4.95E-05
0.35;3.52E-05
0.4;9.10E-06
0.45;1.51E-05
0.5;6.30E-06
0.55;2.85E-05
0.6;2.53E-06
0.65;1.88E-05
0.7;1.33E-05
0.75;1.35E-05
0.8;5.28E-06
0.85;2.74774E-05
0.9;1.61835E-05
0.95;5.17E-06
1;9.89E-06
 ;
