Error;
0.05;7.08384e-05;
 0.1;4.75864e-05;
 0.15;5.7688e-05;
 0.2;3.36408e-05;
 0.25;2.00095e-05;
 0.3;1.43016e-05;
 0.35;1.46476e-05;
 0.4;2.20624e-05;
 0.45;1.68634e-05;
 0.5;1.78081e-05;
 0.55;2.66498e-06;
 0.6;4.82617e-06;
 0.65;1.18688e-05;
 0.7;8.56879e-06;
 0.75;7.92599e-06;
 0.8;3.26007e-06;
 0.85;1.8437e-05;
 0.9;8.89577e-06;
 0.95;8.74603e-06;
 1;1.66838e-05;
 
