Error;
5;0.273532
10;0.000594794
15;0.000128144
20;8.09E-05
25;0.000114571
30;3.29E-05
35;0.000121295
40;2.74E-05
45;9.40E-06
50;0.00732689
55;2.89E-06
60;0.00637136
65;1.65E-05
70;4.96E-06
75;1.80E-06
80;6.19E-06
85;1.60E-06
90;2.86E-06
95;5.33E-05
100;4.88E-06
 ;1.66E-06
;6.40E-07
;6.76E-07
;6.70E-07
;7.36E-07
;6.53E-07
;6.51E-07
;6.02E-07
