Error;
0.05;0.000307568;
 0.1;0.00022858;
 0.15;7.39773e-05;
 0.2;3.89384e-05;
 0.25;2.52699e-05;
 0.3;1.07577e-05;
 0.35;3.08855e-05;
 0.4;2.79344e-06;
 0.45;5.72775e-06;
 0.5;9.34425e-06;
 0.55;6.46453e-06;
 0.6;1.43539e-05;
 0.65;3.15582e-05;
 0.7;0.000124319;
 0.75;0.000198627;
 0.8;0.00117792;
 0.85;5.12026e-05;
 0.9;8.67924e-05;
 0.95;8.7046e-05;
 1;0.000309795;
 1.05;0.00186483;
 1.1;0.000623995;
 1.15;0.000154051;
 1.2;0.000338967;
 
