Error;
0.05;0.00120627
0.1;0.000133912
0.15;7.27E-05
0.2;4.97E-05
0.25;4.17E-05
0.3;1.59E-05
0.35;1.68E-05
0.4;9.97E-06
0.45;2.46E-05
0.5;1.81E-05
0.55;5.13E-05
0.6;1.86E-05
0.65;3.05E-05
0.7;0.00014359
0.75;2.15E-05
0.8;5.95E-05
0.85;0.000110677
0.9;0.00197564
0.95;0.00035736
1;0.00038716
1.05;0.000131923
1.1;0.000398131
1.15;0.000500828
1.2;0.00383057
 ;
