Error;
0.05;7.00E-05
0.1;4.59E-05
0.15;4.27E-05
0.2;4.32E-05
0.25;2.97E-05
0.3;1.63E-05
0.35;1.89E-05
0.4;2.06E-05
0.45;9.45E-06
0.5;3.02E-05
0.55;3.88E-05
0.6;4.52E-06
0.65;1.04E-05
0.7;3.62549E-05
0.75;4.47E-06
0.8;5.03E-06
0.85;2.58642E-05
0.9;3.69E-06
0.95;3.04E-05
1;4.95E-06
 ;
