Error;
0.05;0.000067427
0.1;4.71E-05
0.15;4.26E-05
0.2;4.17E-05
0.25;2.29E-05
0.3;1.27E-05
0.35;2.14E-05
0.4;5.36E-05
0.45;8.65E-06
0.5;2.14E-06
0.55;1.97E-05
0.6;1.47E-05
0.65;1.72E-06
0.7;4.00E-05
0.75;4.12E-05
0.8;2.02E-06
0.85;3.29E-05
0.9;1.07E-05
0.95;5.30E-05
1;3.47E-05
 ;
